Categoría: Alimentación y bebidas

Semana,pistachos: (Chile),nueces: (Chile),chocolate dubai: (Chile)
2020-09-27,0,26,0
2020-10-04,0,29,0
2020-10-11,6,30,0
2020-10-18,7,30,0
2020-10-25,4,28,0
2020-11-01,5,23,0
2020-11-08,5,25,0
2020-11-15,0,26,0
2020-11-22,0,26,0
2020-11-29,6,26,0
2020-12-06,5,26,0
2020-12-13,4,29,0
2020-12-20,0,43,0
2020-12-27,6,31,0
2021-01-03,0,19,0
2021-01-10,0,21,0
2021-01-17,5,23,0
2021-01-24,5,22,0
2021-01-31,5,20,0
2021-02-07,4,20,0
2021-02-14,0,19,0
2021-02-21,5,23,0
2021-02-28,0,18,0
2021-03-07,0,25,0
2021-03-14,0,25,0
2021-03-21,0,27,0
2021-03-28,0,29,0
2021-04-04,4,28,0
2021-04-11,0,34,0
2021-04-18,5,31,0
2021-04-25,5,29,0
2021-05-02,6,30,0
2021-05-09,4,21,0
2021-05-16,5,24,0
2021-05-23,6,24,0
2021-05-30,5,24,0
2021-06-06,5,23,0
2021-06-13,5,30,0
2021-06-20,6,25,0
2021-06-27,7,23,0
2021-07-04,7,23,0
2021-07-11,6,22,0
2021-07-18,5,25,0
2021-07-25,0,24,0
2021-08-01,5,19,0
2021-08-08,6,24,0
2021-08-15,10,29,0
2021-08-22,6,18,0
2021-08-29,5,23,0
2021-09-05,7,20,0
2021-09-12,0,21,0
2021-09-19,8,19,0
2021-09-26,6,24,0
2021-10-03,0,20,0
2021-10-10,5,19,0
2021-10-17,6,23,0
2021-10-24,5,18,0
2021-10-31,0,18,0
2021-11-07,0,20,0
2021-11-14,5,22,5
2021-11-21,0,17,0
2021-11-28,4,20,0
2021-12-05,0,21,0
2021-12-12,7,23,0
2021-12-19,0,36,0
2021-12-26,0,29,0
2022-01-02,0,11,0
2022-01-09,0,20,0
2022-01-16,0,18,0
2022-01-23,0,17,0
2022-01-30,5,21,0
2022-02-06,0,19,0
2022-02-13,4,20,0
2022-02-20,0,19,0
2022-02-27,5,12,0
2022-03-06,0,16,0
2022-03-13,3,18,0
2022-03-20,4,18,0
2022-03-27,4,21,0
2022-04-03,5,19,0
2022-04-10,5,25,0
2022-04-17,4,23,0
2022-04-24,5,27,0
2022-05-01,4,25,0
2022-05-08,3,21,0
2022-05-15,4,25,0
2022-05-22,5,25,0
2022-05-29,5,23,0
2022-06-05,4,23,0
2022-06-12,4,24,0
2022-06-19,0,23,0
2022-06-26,6,23,0
2022-07-03,0,20,0
2022-07-10,0,23,0
2022-07-17,0,27,0
2022-07-24,6,23,0
2022-07-31,4,24,0
2022-08-07,3,19,0
2022-08-14,6,29,0
2022-08-21,4,21,0
2022-08-28,5,21,0
2022-09-04,0,16,0
2022-09-11,4,20,0
2022-09-18,5,20,0
2022-09-25,4,22,0
2022-10-02,4,19,0
2022-10-09,5,23,0
2022-10-16,5,21,0
2022-10-23,5,20,0
2022-10-30,6,22,0
2022-11-06,7,22,0
2022-11-13,8,20,0
